textwidth	tw	number	buffer
thesaurus	tsr	string	global-buffer
thesaurusfunc	tsrfu	string	global-buffer
tildeop	top	boolean	global
timeout	to	boolean	global
timeoutlen	tm	number	global
title		boolean	global
titlelen		number	global
titleold		string	global
titlestring		string	global
toolbar	tb	string	global
toolbariconsize	tbis	string	global
transparency	transp	number	global
ttimeout		boolean	global
ttimeoutlen	ttm	number	global
ttybuiltin	tbi	boolean	global
ttyfast	tf	boolean	global
ttymouse	ttym	string	global
ttyscroll	tsl	number	global
ttytype	tty	string	global
undodir	udir	string	global
undofile	udf	boolean	buffer
undolevels	ul	number	global-buffer
undoreload	ur	number	global
updatecount	uc	number	global
updatetime	ut	number	global
varsofttabstop	vsts	string	buffer
vartabstop	vts	string	buffer
verbose	vbs	number	global
verbosefile	vfile	string	global
viewdir	vdir	string	global
viewoptions	vop	string	global
viminfo	vi	string	global
viminfofile	vif	string	global
virtualedit	ve	string	global-window
visualbell	vb	boolean	global
warn		boolean	global
weirdinvert	wiv	boolean	global
whichwrap	ww	string	global
wildchar	wc	number	global
wildcharm	wcm	number	global
wildignore	wig	string	global
wildignorecase	wic	boolean	global
wildmenu	wmnu	boolean	global
wildmode	wim	string	global
wildoptions	wop	string	global
winaltkeys	wak	string	global
wincolor	wcr	string	window
window	wi	number	global
winfixbuf	wfb	boolean	window
winfixheight	wfh	boolean	window
winfixwidth	wfw	boolean	window
winheight	wh	number	global
winhighlight	whl	string	window
winminheight	wmh	number	global
winminwidth	wmw	number	global
winptydll		string	global
winwidth	wiw	number	global
wlseat	wse	string	global
wlsteal	wst	boolean	global
wltimeoutlen	wtm	number	global
wrap		boolean	window
wrapmargin	wm	number	buffer
wrapscan	ws	boolean	global
write		boolean	global
writeany	wa	boolean	global
writebackup	wb	boolean	global
writedelay	wd	number	global
xtermcodes		boolean	global
